time,A0,B0,C0,D0,E0,F0,G0,H0,A1,B1,C1,D1,E1,F1,G1,H1,A2,B2,C2,D2,E2,F2,G2,H2,A3,B3,C3,D3,E3,F3,G3,H3,A4,B4,C4,D4,E4,F4,G4,H4,A5,B5,C5,D5,E5,F5,G5,H5,A6,B6,C6,D6,E6,F6,G6,H6,A7,B7,C7,D7,E7,F7,G7,H7,A8,B8,C8,D8,E8,F8,G8,H8,A9,B9,C9,D9,E9,F9,G9,H9,A10,B10,C10,D10,E10,F10,G10,H10,A11,B11,C11,D11,E11,F11,G11,H11
0:00:43,0.488,0.469,0.504,0.52,0.537,0.546,0.555,0.578,0.494,0.472,0.48,0.492,0.502,0.514,0.536,0.558,0.504,0.472,0.576,0.528,0.662,0.611,0.522,0.575,0.514,0.478,0.476,0.661,0.676,0.476,0.532,0.554,0.527,0.466,0.485,0.507,0.996,0.491,0.554,0.862,0.548,0.467,0.96,0.54,0.599,0.525,0.669,0.629,0.71,1.19,0.504,0.734,0.543,0.783,0.934,0.845,0.504,0.504,1.238,0.507,0.567,0.846,0.886,0.881,0.526,1.071,1.242,1.099,1.162,0.516,1.077,0.846,0.828,1.174,1.096,0.748,0.782,1.095,1.011,0.98,0.523,1.25,0.677,1.013,0.998,0.943,0.921,0.779,0.093,0.861,0.097,0.086,0.086,0.085,0.085,0.084
0:15:43,1521.0,1529.0,1537.0,1353.0,1624.0,1873.0,1871.0,1847.0,1559.0,1553.0,1572.0,1364.0,1869.0,2351.0,2308.0,2304.0,1536.0,1570.0,1603.0,1367.0,1868.0,2367.0,2333.0,2317.0,1554.0,1552.0,1599.0,1390.0,1879.0,2364.0,2328.0,2307.0,1593.0,1590.0,1623.0,1412.0,1829.0,2296.0,2318.0,2314.0,1593.0,1588.0,1587.0,1390.0,1896.0,2363.0,2328.0,2303.0,1594.0,1571.0,1567.0,1369.0,1875.0,2357.0,2315.0,2304.0,1559.0,1577.0,1559.0,1370.0,1874.0,2349.0,2300.0,2293.0,1578.0,1561.0,1555.0,1366.0,1873.0,2340.0,2314.0,2284.0,1571.0,1551.0,1551.0,1360.0,1857.0,2317.0,2282.0,2276.0,1607.0,1570.0,1622.0,1369.0,1833.0,2314.0,2254.0,2264.0,1461.0,1548.0,1219.0,252.0,250.0,250.0,257.0,266.0
0:30:43,1459.0,1471.0,1476.0,1302.0,1563.0,1810.0,1801.0,1786.0,1469.0,1474.0,1488.0,1308.0,1804.0,2277.0,2225.0,2230.0,1482.0,1493.0,1522.0,1320.0,1807.0,2293.0,2252.0,2238.0,1477.0,1476.0,1518.0,1333.0,1812.0,2283.0,2250.0,2228.0,1517.0,1529.0,1538.0,1354.0,1759.0,2217.0,2235.0,2237.0,1510.0,1522.0,1521.0,1336.0,1836.0,2287.0,2245.0,2218.0,1509.0,1509.0,1504.0,1322.0,1821.0,2289.0,2238.0,2225.0,1500.0,1505.0,1498.0,1327.0,1812.0,2277.0,2230.0,2217.0,1506.0,1504.0,1501.0,1316.0,1812.0,2264.0,2229.0,2206.0,1500.0,1500.0,1494.0,1305.0,1794.0,2243.0,2207.0,2201.0,1494.0,1520.0,1536.0,1311.0,1773.0,2237.0,2175.0,2187.0,1400.0,1484.0,1171.0,244.0,245.0,246.0,250.0,258.0
0:45:43,1455.0,1466.0,1470.0,1286.0,1544.0,1786.0,1777.0,1762.0,1470.0,1453.0,1470.0,1292.0,1776.0,2240.0,2192.0,2195.0,1484.0,1472.0,1511.0,1303.0,1783.0,2263.0,2218.0,2203.0,1480.0,1468.0,1504.0,1327.0,1796.0,2261.0,2213.0,2197.0,1509.0,1517.0,1521.0,1352.0,1867.0,2268.0,2199.0,2212.0,1507.0,1521.0,1499.0,1345.0,1832.0,2268.0,2213.0,2200.0,1511.0,1511.0,1496.0,1335.0,1824.0,2283.0,2200.0,2201.0,1502.0,1504.0,1483.0,1337.0,1821.0,2277.0,2201.0,2193.0,1510.0,1494.0,1508.0,1331.0,1814.0,2264.0,2199.0,2182.0,1506.0,1507.0,1494.0,1326.0,1800.0,2256.0,2176.0,2178.0,1511.0,1504.0,1505.0,1333.0,1790.0,2255.0,2154.0,2168.0,1382.0,1465.0,1152.0,240.0,242.0,243.0,246.0,251.0
1:00:43,1457.0,1472.0,1470.0,1291.0,1540.0,1778.0,1763.0,1748.0,1473.0,1458.0,1475.0,1299.0,1772.0,2230.0,2182.0,2180.0,1485.0,1479.0,1512.0,1311.0,1787.0,2252.0,2201.0,2195.0,1487.0,1477.0,1507.0,1341.0,1806.0,2259.0,2201.0,2179.0,1516.0,1531.0,1522.0,1385.0,1897.0,2262.0,2182.0,2195.0,1521.0,1529.0,1514.0,1398.0,1876.0,2303.0,2193.0,2186.0,1532.0,1519.0,1516.0,1404.0,1885.0,2344.0,2191.0,2191.0,1524.0,1524.0,1504.0,1411.0,1887.0,2343.0,2191.0,2179.0,1532.0,1516.0,1523.0,1408.0,1883.0,2324.0,2189.0,2169.0,1522.0,1526.0,1514.0,1405.0,1874.0,2332.0,2168.0,2168.0,1528.0,1541.0,1537.0,1422.0,1865.0,2328.0,2142.0,2161.0,1378.0,1456.0,1144.0,238.0,239.0,239.0,247.0,253.0
1:15:43,1468.0,1475.0,1477.0,1295.0,1548.0,1786.0,1763.0,1749.0,1475.0,1463.0,1479.0,1312.0,1778.0,2228.0,2174.0,2177.0,1485.0,1493.0,1516.0,1325.0,1787.0,2249.0,2191.0,2187.0,1498.0,1488.0,1518.0,1364.0,1818.0,2270.0,2188.0,2172.0,1529.0,1545.0,1542.0,1434.0,1942.0,2284.0,2176.0,2193.0,1544.0,1540.0,1537.0,1497.0,1964.0,2367.0,2195.0,2181.0,1552.0,1544.0,1539.0,1513.0,1987.0,2440.0,2187.0,2186.0,1545.0,1545.0,1530.0,1517.0,1988.0,2441.0,2187.0,2177.0,1554.0,1542.0,1557.0,1521.0,1987.0,2421.0,2181.0,2165.0,1555.0,1556.0,1548.0,1523.0,1972.0,2440.0,2168.0,2165.0,1542.0,1575.0,1550.0,1537.0,1960.0,2433.0,2138.0,2155.0,1378.0,1452.0,1142.0,238.0,243.0,240.0,247.0,251.0
1:30:43,1469.0,1491.0,1485.0,1302.0,1554.0,1783.0,1758.0,1744.0,1484.0,1477.0,1491.0,1320.0,1779.0,2230.0,2174.0,2173.0,1499.0,1504.0,1520.0,1344.0,1799.0,2258.0,2188.0,2185.0,1519.0,1500.0,1539.0,1396.0,1848.0,2284.0,2188.0,2174.0,1550.0,1561.0,1567.0,1498.0,1992.0,2317.0,2173.0,2190.0,1579.0,1566.0,1573.0,1601.0,2064.0,2448.0,2190.0,2184.0,1591.0,1582.0,1575.0,1641.0,2115.0,2560.0,2183.0,2188.0,1580.0,1575.0,1555.0,1629.0,2105.0,2569.0,2191.0,2181.0,1595.0,1583.0,1585.0,1664.0,2116.0,2570.0,2184.0,2167.0,1594.0,1594.0,1586.0,1649.0,2091.0,2575.0,2168.0,2170.0,1577.0,1622.0,1571.0,1669.0,2094.0,2563.0,2142.0,2162.0,1378.0,1453.0,1142.0,239.0,241.0,240.0,245.0,253.0
1:45:43,1518.0,1509.0,1504.0,1310.0,1554.0,1794.0,1756.0,1744.0,1506.0,1498.0,1511.0,1335.0,1789.0,2233.0,2166.0,2171.0,1523.0,1522.0,1543.0,1359.0,1811.0,2258.0,2188.0,2182.0,1545.0,1528.0,1561.0,1426.0,1871.0,2299.0,2189.0,2175.0,1592.0,1602.0,1603.0,1564.0,2038.0,2363.0,2170.0,2195.0,1637.0,1612.0,1617.0,1711.0,2171.0,2543.0,2198.0,2188.0,1652.0,1632.0,1625.0,1778.0,2255.0,2705.0,2190.0,2199.0,1637.0,1615.0,1597.0,1739.0,2239.0,2706.0,2192.0,2186.0,1657.0,1634.0,1641.0,1812.0,2254.0,2689.0,2190.0,2174.0,1653.0,1656.0,1648.0,1792.0,2221.0,2741.0,2177.0,2178.0,1620.0,1698.0,1594.0,1814.0,2244.0,2709.0,2148.0,2170.0,1374.0,1448.0,1140.0,237.0,239.0,237.0,245.0,251.0
2:00:43,1558.0,1547.0,1540.0,1323.0,1567.0,1800.0,1759.0,1752.0,1549.0,1536.0,1554.0,1346.0,1801.0,2237.0,2170.0,2169.0,1568.0,1561.0,1581.0,1374.0,1829.0,2270.0,2186.0,2188.0,1610.0,1574.0,1598.0,1457.0,1902.0,2321.0,2186.0,2176.0,1679.0,1667.0,1662.0,1628.0,2086.0,2408.0,2171.0,2201.0,1733.0,1681.0,1688.0,1833.0,2293.0,2647.0,2196.0,2195.0,1751.0,1721.0,1711.0,1926.0,2404.0,2864.0,2210.0,2209.0,1720.0,1676.0,1661.0,1855.0,2376.0,2855.0,2209.0,2206.0,1762.0,1724.0,1731.0,1959.0,2402.0,2830.0,2203.0,2190.0,1760.0,1760.0,1759.0,1929.0,2360.0,2924.0,2186.0,2193.0,1715.0,1797.0,1657.0,1956.0,2416.0,2872.0,2156.0,2182.0,1375.0,1449.0,1144.0,236.0,238.0,236.0,242.0,250.0
2:15:43,1618.0,1613.0,1603.0,1341.0,1582.0,1813.0,1770.0,1757.0,1614.0,1595.0,1615.0,1370.0,1818.0,2256.0,2174.0,2176.0,1654.0,1624.0,1638.0,1407.0,1853.0,2289.0,2197.0,2195.0,1717.0,1641.0,1665.0,1501.0,1943.0,2347.0,2202.0,2189.0,1822.0,1770.0,1758.0,1702.0,2138.0,2475.0,2178.0,2228.0,1879.0,1793.0,1811.0,1963.0,2427.0,2757.0,2221.0,2214.0,1904.0,1846.0,1844.0,2076.0,2563.0,3035.0,2227.0,2237.0,1840.0,1759.0,1745.0,1972.0,2516.0,3006.0,2236.0,2231.0,1917.0,1863.0,1856.0,2119.0,2563.0,2995.0,2226.0,2209.0,1925.0,1902.0,1929.0,2080.0,2501.0,3128.0,2210.0,2221.0,1870.0,1948.0,1766.0,2110.0,2595.0,3047.0,2176.0,2207.0,1376.0,1459.0,1145.0,237.0,238.0,238.0,242.0,248.0
2:30:43,1702.0,1687.0,1684.0,1368.0,1610.0,1839.0,1782.0,1777.0,1704.0,1671.0,1690.0,1397.0,1845.0,2278.0,2190.0,2195.0,1753.0,1693.0,1713.0,1442.0,1890.0,2317.0,2213.0,2216.0,1850.0,1719.0,1741.0,1548.0,2003.0,2396.0,2221.0,2209.0,1980.0,1879.0,1876.0,1787.0,2191.0,2564.0,2184.0,2261.0,2049.0,1918.0,1950.0,2100.0,2576.0,2883.0,2241.0,2246.0,2087.0,1994.0,2000.0,2241.0,2726.0,3226.0,2266.0,2270.0,1993.0,1873.0,1855.0,2095.0,2663.0,3170.0,2268.0,2271.0,2121.0,2030.0,2019.0,2285.0,2731.0,3169.0,2254.0,2244.0,2133.0,2083.0,2143.0,2231.0,2648.0,3340.0,2247.0,2259.0,2061.0,2129.0,1910.0,2267.0,2798.0,3240.0,2199.0,2242.0,1375.0,1468.0,1144.0,238.0,239.0,236.0,242.0,249.0
2:45:43,1789.0,1768.0,1774.0,1411.0,1655.0,1884.0,1809.0,1803.0,1795.0,1745.0,1778.0,1441.0,1899.0,2318.0,2213.0,2221.0,1860.0,1773.0,1802.0,1491.0,1952.0,2371.0,2243.0,2256.0,1986.0,1811.0,1833.0,1611.0,2087.0,2470.0,2257.0,2247.0,2156.0,2005.0,2004.0,1889.0,2264.0,2679.0,2204.0,2323.0,2235.0,2065.0,2107.0,2250.0,2739.0,3029.0,2286.0,2293.0,2281.0,2153.0,2168.0,2411.0,2906.0,3430.0,2316.0,2330.0,2159.0,1995.0,1984.0,2232.0,2825.0,3339.0,2327.0,2332.0,2329.0,2204.0,2199.0,2456.0,2912.0,3361.0,2305.0,2294.0,2345.0,2261.0,2370.0,2383.0,2799.0,3579.0,2300.0,2320.0,2255.0,2337.0,2077.0,2429.0,3013.0,3458.0,2239.0,2295.0,1375.0,1490.0,1146.0,237.0,241.0,238.0,242.0,250.0
3:00:43,1892.0,1870.0,1877.0,1479.0,1725.0,1948.0,1856.0,1856.0,1913.0,1836.0,1881.0,1502.0,1971.0,2387.0,2251.0,2268.0,1996.0,1864.0,1897.0,1564.0,2042.0,2451.0,2293.0,2309.0,2149.0,1916.0,1937.0,1698.0,2218.0,2574.0,2314.0,2303.0,2359.0,2151.0,2145.0,2007.0,2355.0,2845.0,2235.0,2410.0,2437.0,2215.0,2278.0,2405.0,2936.0,3206.0,2348.0,2363.0,2489.0,2321.0,2347.0,2584.0,3110.0,3662.0,2388.0,2408.0,2335.0,2128.0,2123.0,2369.0,2999.0,3538.0,2398.0,2414.0,2557.0,2394.0,2383.0,2639.0,3111.0,3569.0,2367.0,2364.0,2586.0,2456.0,2622.0,2539.0,2964.0,3836.0,2373.0,2397.0,2470.0,2561.0,2249.0,2614.0,3248.0,3686.0,2291.0,2376.0,1378.0,1509.0,1143.0,237.0,239.0,235.0,244.0,250.0
3:15:43,2033.0,1997.0,2010.0,1554.0,1807.0,2018.0,1907.0,1904.0,2064.0,1957.0,2014.0,1575.0,2057.0,2457.0,2299.0,2320.0,2166.0,1988.0,2026.0,1653.0,2153.0,2540.0,2347.0,2365.0,2352.0,2056.0,2077.0,1801.0,2358.0,2703.0,2373.0,2373.0,2603.0,2330.0,2330.0,2150.0,2481.0,3058.0,2273.0,2496.0,2687.0,2400.0,2490.0,2592.0,3169.0,3413.0,2420.0,2444.0,2749.0,2528.0,2569.0,2772.0,3352.0,3926.0,2476.0,2502.0,2573.0,2306.0,2280.0,2511.0,3196.0,3743.0,2487.0,2501.0,2848.0,2638.0,2610.0,2828.0,3346.0,3793.0,2452.0,2453.0,2889.0,2701.0,2934.0,2703.0,3150.0,4133.0,2456.0,2494.0,2739.0,2852.0,2478.0,2804.0,3512.0,3943.0,2361.0,2463.0,1375.0,1528.0,1147.0,239.0,238.0,236.0,242.0,250.0
3:30:43,2208.0,2164.0,2182.0,1637.0,1889.0,2177.0,1955.0,1953.0,2253.0,2111.0,2183.0,1663.0,2144.0,2527.0,2349.0,2368.0,2369.0,2153.0,2192.0,1758.0,2258.0,2628.0,2399.0,2414.0,2602.0,2242.0,2274.0,1930.0,2519.0,2837.0,2430.0,2475.0,2897.0,2544.0,2552.0,2317.0,2625.0,3279.0,2326.0,2576.0,3007.0,2628.0,2742.0,2793.0,3406.0,3631.0,2490.0,2528.0,3072.0,2773.0,2829.0,2978.0,3575.0,4190.0,2548.0,2592.0,2865.0,2528.0,2497.0,2666.0,3395.0,3969.0,2565.0,2593.0,3175.0,2923.0,2878.0,3033.0,3579.0,4016.0,2528.0,2536.0,3226.0,2982.0,3289.0,2879.0,3342.0,4425.0,2545.0,2588.0,3047.0,3176.0,2739.0,3024.0,3791.0,4213.0,2447.0,2553.0,1378.0,1557.0,1148.0,239.0,240.0,237.0,241.0,248.0
3:45:43,2385.0,2347.0,2357.0,1729.0,1972.0,2246.0,2002.0,2003.0,2441.0,2294.0,2379.0,1760.0,2226.0,2601.0,2389.0,2411.0,2581.0,2345.0,2403.0,1876.0,2359.0,2722.0,2441.0,2461.0,2867.0,2473.0,2505.0,2076.0,2675.0,2966.0,2484.0,2532.0,3222.0,2808.0,2825.0,2506.0,2771.0,3514.0,2385.0,2664.0,3369.0,2895.0,3049.0,3018.0,3648.0,3847.0,2562.0,2611.0,3442.0,3077.0,3143.0,3200.0,3821.0,4448.0,2627.0,2680.0,3190.0,2803.0,2776.0,2831.0,3590.0,4169.0,2651.0,2676.0,3538.0,3247.0,3195.0,3263.0,3817.0,4243.0,2607.0,2618.0,3603.0,3302.0,3684.0,3066.0,3527.0,4718.0,2625.0,2674.0,3360.0,3537.0,3016.0,3247.0,4055.0,4483.0,2528.0,2639.0,1382.0,1594.0,1147.0,237.0,239.0,237.0,245.0,251.0
